,crop,azl,lbg,twi,nfk,area_iacs,SMI_magnitude,lst,ndvi,year,lstndvi,lstndvi_anom,SPEI_magnitude
0,rye,21.53,5.0,12.0,219.78,0.56,0.0,300.64,0.8,2013,375.88,-0.18,-0.72
1,rye,23.78,4.0,9.91,179.18,19.86,0.0,299.15,0.79,2013,380.02,-0.17,-0.72
2,grain_maize,41.37,2.0,12.19,122.76,19.3,0.0,302.36,0.6,2013,501.28,-0.39,-0.89
3,winter_wheat,38.76,2.0,13.66,174.54,0.28,0.0,302.0,0.62,2013,485.01,0.26,-0.72
4,rye,27.52,4.0,12.37,99.64,2.24,0.0,299.86,0.64,2013,469.69,0.02,-0.56
5,rye,33.48,3.0,10.19,143.73,3.57,0.0,299.2,0.81,2013,369.66,-0.2,-1.28
6,rye,24.44,4.0,9.48,,32.62,0.0,302.93,0.62,2013,490.77,0.07,-1.2
7,rye,24.88,4.0,12.17,115.49,27.0,0.0,306.4,0.62,2013,497.88,0.08,-1.21
8,winter_canola,23.83,4.0,15.87,130.51,62.83,0.0,298.15,0.63,2013,470.23,0.17,-0.56
9,winter_wheat,44.38,2.0,13.29,120.58,2.98,0.0,300.24,0.81,2013,369.01,-0.04,-0.73
10,sunflower,22.74,5.0,15.91,107.8,4.18,0.0,307.41,0.26,2013,1181.87,0.64,-0.73
11,rye,30.88,3.0,8.64,153.22,23.0,0.0,298.42,0.82,2013,364.54,-0.21,-0.69
12,rye,28.0,4.0,10.68,116.32,45.7,0.0,295.0,0.82,2013,357.58,-0.22,-0.64
13,rye,26.44,4.0,9.36,113.81,28.86,0.0,295.29,0.86,2013,342.52,-0.26,-0.95
14,winter_wheat,30.88,3.0,12.57,211.34,7.79,0.0,296.3,0.86,2013,346.14,-0.1,-0.95
15,potatoes,20.07,5.0,9.44,116.56,0.12,0.0,303.5,0.42,2013,720.9,-0.04,-1.17
16,rye,30.62,3.0,14.72,116.56,6.7,0.0,302.02,0.75,2013,403.14,-0.12,-1.09
17,rye,39.86,2.0,8.8,153.22,4.81,0.0,299.21,0.76,2013,394.22,-0.14,-0.91
18,rye,36.7,2.0,9.36,108.91,0.27,0.0,302.2,0.71,2013,423.01,-0.08,-0.87
19,rye,18.2,5.0,9.93,152.98,50.91,0.0,302.25,0.52,2013,585.01,0.27,-0.66
20,rye,34.62,3.0,14.7,114.89,8.22,0.0,299.89,0.67,2013,445.54,-0.03,-1.09
21,rye,39.86,2.0,10.04,116.56,6.53,0.0,295.26,0.87,2013,338.73,-0.26,-1.11
22,rye,31.74,3.0,11.49,114.56,17.22,0.0,300.49,0.73,2013,412.53,-0.1,-1.14
23,rye,33.74,3.0,10.53,116.56,21.77,0.0,299.88,0.79,2013,381.83,-0.17,-1.09
24,rye,22.4,5.0,8.98,121.53,0.79,0.0,301.2,0.74,2013,406.95,-0.12,-0.94
25,rye,24.03,4.0,11.14,153.22,9.75,0.0,298.27,0.73,2013,406.16,-0.12,-1.02
26,rye,23.66,4.0,8.16,93.72,4.45,0.0,301.24,0.58,2013,519.93,0.13,-0.66
27,rye,21.1,5.0,12.93,116.56,4.01,0.0,302.73,0.69,2013,435.65,-0.05,-0.72
28,rye,35.25,2.0,,111.91,1.98,0.0,301.09,0.63,2013,478.37,0.04,-0.88
29,rye,22.76,5.0,10.09,114.22,2.32,0.0,302.59,0.69,2013,439.49,-0.05,-0.94
30,triticale,30.65,3.0,10.75,116.29,28.05,0.0,297.97,0.82,2013,364.28,-0.16,-1.09
31,triticale,23.67,4.0,11.82,116.56,58.97,0.0,302.81,0.67,2013,453.6,0.04,-0.79
32,triticale,29.39,3.0,,112.13,5.46,0.0,301.07,0.75,2013,402.95,-0.08,-1.0
33,triticale,35.06,2.0,14.62,116.56,9.65,0.0,298.44,0.83,2013,357.75,-0.18,-1.1
34,triticale,29.54,3.0,10.06,116.56,4.75,0.0,302.66,0.73,2013,415.11,-0.05,-1.05
35,triticale,32.98,3.0,10.84,115.99,57.34,0.0,298.16,0.87,2013,342.5,-0.21,-1.11
